epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,40.3255,0.95957,1.47993,1.36903,0.69254,0.74389,0.75107,0.40956,1.71131,1.56804,2.21361,0.000580174,0.000580174,0.000580174
62,40.9426,1.67138,2.37887,1.82444,0.69254,0.74389,0.75107,0.40956,1.71131,1.56804,2.21361,0.000566027,0.000566027,0.000566027
63,41.5628,1.2245,1.64275,1.64332,0.69254,0.74389,0.75107,0.40956,1.71131,1.56804,2.21361,0.00055188,0.00055188,0.00055188
64,42.1894,1.32237,1.77154,1.65071,0.69254,0.74389,0.75107,0.40956,1.71131,1.56804,2.21361,0.000537733,0.000537733,0.000537733
65,42.8201,1.04826,1.48126,1.35095,0.69254,0.74389,0.75107,0.40956,1.71131,1.56804,2.21361,0.000523586,0.000523586,0.000523586
66,43.4693,1.21102,1.70819,1.49922,0.8906,0.62425,0.83707,0.40832,1.75065,1.63468,2.0979,0.000509438,0.000509438,0.000509438
67,44.0941,1.35264,2.21412,1.65931,0.8906,0.62425,0.83707,0.40832,1.75065,1.63468,2.0979,0.000495291,0.000495291,0.000495291
68,44.7187,1.24258,1.6635,1.55946,0.8906,0.62425,0.83707,0.40832,1.75065,1.63468,2.0979,0.000481144,0.000481144,0.000481144
69,45.3389,1.53538,2.14218,1.84583,0.8906,0.62425,0.83707,0.40832,1.75065,1.63468,2.0979,0.000466997,0.000466997,0.000466997
70,45.9641,1.2913,1.6743,1.56409,0.8906,0.62425,0.83707,0.40832,1.75065,1.63468,2.0979,0.00045285,0.00045285,0.00045285
71,46.6047,1.32672,2.3651,1.78076,0.80541,0.83599,0.863,0.43807,1.81705,1.75179,2.19733,0.000438703,0.000438703,0.000438703
72,47.2329,1.16095,1.60169,1.53351,0.80541,0.83599,0.863,0.43807,1.81705,1.75179,2.19733,0.000424556,0.000424556,0.000424556
73,47.8799,1.06475,1.3786,1.40036,0.80541,0.83599,0.863,0.43807,1.81705,1.75179,2.19733,0.000410409,0.000410409,0.000410409
74,48.6535,1.12236,1.74298,1.54725,0.80541,0.83599,0.863,0.43807,1.81705,1.75179,2.19733,0.000396262,0.000396262,0.000396262
75,49.2831,1.0702,1.70157,1.44659,0.80541,0.83599,0.863,0.43807,1.81705,1.75179,2.19733,0.000382115,0.000382115,0.000382115
76,49.9028,1.16508,1.79214,1.61456,0.80541,0.83599,0.863,0.43807,1.81705,1.75179,2.19733,0.000367967,0.000367967,0.000367967
